year,rank,region,state,airport_code,airport_name,service_level,hub_type,boardings,previous_year_boardings,yoy_change
2016,6,NM,CO,DEN,Denver International,P,L,28267394,26280043,0.0756
2016,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,50501858,49340732,0.0235
2016,3,GL,IL,ORD,Chicago O'Hare International,P,L,37589899,36305668,0.0354
2016,8,WP,NV,LAS,McCarran International,P,L,22833267,21857693,0.0446
2016,4,SW,TX,DFW,Dallas-Fort Worth International,P,L,31283579,31589839,-0.0097
2016,9,NM,WA,SEA,Seattle-Tacoma International,P,L,21887110,20148980,0.0863
2017,2,WP,CA,LAX,Los Angeles International,P,L,41232432,39636042,0.0403
2017,7,WP,CA,SFO,San Francisco International,P,L,26900048,25707101,0.0464
2017,5,NM,CO,DEN,Denver International,P,L,29809097,28267394,0.0545
2017,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,50251964,50501858,-0.0049
2017,3,GL,IL,ORD,Chicago O'Hare International,P,L,38593028,37589899,0.0267
2017,8,WP,NV,LAS,McCarran International,P,L,23364393,22833267,0.0233
2017,4,SW,TX,DFW,Dallas-Fort Worth International,P,L,31816933,31283579,0.017
2017,9,NM,WA,SEA,Seattle-Tacoma International,P,L,22639124,21887110,0.0344
2018,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,51865797,50251964,0.0321
2018,2,WP,CA,LAX,Los Angeles International,P,L,42624050,41232432,0.0338
2018,3,GL,IL,ORD,Chicago O'Hare International,P,L,39873927,38593028,0.0332
2018,4,SW,TX,DFW,Dallas-Fort Worth International,P,L,32821799,31816933,0.0316
2018,5,NM,CO,DEN,Denver International,P,L,31362941,29809097,0.0521
2018,7,WP,CA,SFO,San Francisco International,P,L,27790717,26900048,0.0331
2018,8,NM,WA,SEA,Seattle-Tacoma International,P,L,24024908,22639124,0.0612
2018,9,WP,NV,LAS,McCarran International,P,L,23795012,23364393,0.0184
